"","x"
"1",739970
"2",995177
"3",741490
"4",497639
"5",911963
"6",69578
"7",-716233
"8",173755
"9",-639064
"10",-605542
"11",486520
"12",298984
"13",716064
"14",101617
"15",-831119
"16",268052
"17",-645106
"18",-613668
"19",-635272
"20",-865372
"21",-150446
"22",702609
"23",7363
"24",898212
"25",690022
"26",334000
"27",75197
"28",-985534
"29",-429933
"30",-323964
"31",487134
"32",-187503
"33",97400
"34",525367
"35",352743
"36",841569
"37",-355851
"38",-955752
"39",-271564
"40",516649
"41",926559
"42",239230
"43",645972
"44",296681
"45",245707
"46",-175683
"47",932327
"48",753225
"49",-305735
"50",551494
"51",48300
"52",894752
"53",969746
"54",-387680
"55",-601930
"56",597136
"57",-162036
"58",-213386
"59",-290296
"60",385579
"61",418346
"62",-583454
"63",62202
"64",-689280
"65",-242213
"66",-789803
"67",648373
"68",-503149
"69",-476366
"70",21757
"71",-487334
"72",884520
"73",367167
"74",-314852
"75",54463
"76",907898
"77",653251
"78",-266645
"79",435054
"80",862596
"81",224304
"82",-840431
"83",473129
"84",376991
"85",129783
"86",7842
"87",-488704
"88",113979
"89",-410949
"90",586381
"91",181245
"92",-436186
"93",-276288
"94",737036
"95",228145
"96",-659664
"97",967836
"98",-426764
"99",667187
"100",-258885
