"","x"
"1",-165616
"2",-721748
"3",-434808
"4",-675386
"5",-720343
"6",-109635
"7",838685
"8",824825
"9",-408913
"10",157559
"11",-581355
"12",393239
"13",-927084
"14",237207
"15",-40047
"16",-464785
"17",-855618
"18",294954
"19",-87106
"20",-226795
"21",493047
"22",-355005
"23",-383249
"24",-972891
"25",-102183
"26",-145460
"27",781733
"28",521827
"29",-886727
"30",-136743
"31",921425
"32",111605
"33",452290
"34",717556
"35",230373
"36",547616
"37",-189489
"38",396801
"39",923701
"40",-98769
"41",-355047
"42",-342901
"43",-636271
"44",-14756
"45",103414
"46",-571363
"47",-437129
"48",527659
"49",405138
"50",126051
"51",184524
"52",-68822
"53",-635205
"54",-703657
"55",-942577
"56",832007
"57",-136699
"58",843796
"59",-228406
"60",768494
"61",-754908
"62",-972050
"63",-949275
"64",-228251
"65",-461596
"66",-442940
"67",72393
"68",-378293
"69",-452552
"70",-308528
"71",78906
"72",-148191
"73",200990
"74",68340
"75",747187
"76",-488201
"77",-554152
"78",-539911
"79",830288
"80",801591
"81",-936815
"82",-747095
"83",903281
"84",-396345
"85",-165073
"86",-95907
"87",-477470
"88",-244436
"89",-756656
"90",-492975
"91",-671340
"92",-630591
"93",-10295
"94",-23767
"95",405902
"96",26565
"97",621707
"98",-859362
"99",438107
"100",-498999
