"","x"
"1",-296226
"2",-282402
"3",-158179
"4",-759119
"5",-103977
"6",-503147
"7",-597253
"8",870134
"9",297953
"10",884902
"11",477709
"12",886790
"13",488501
"14",-475880
"15",957138
"16",610184
"17",714662
"18",153714
"19",184228
"20",-254320
"21",733270
"22",261980
"23",-209698
"24",590648
"25",236503
"26",713575
"27",93823
"28",734821
"29",540927
"30",-593121
"31",18010
"32",89585
"33",502990
"34",653882
"35",-701741
"36",791822
"37",103929
"38",748356
"39",-165616
"40",-721748
"41",-434808
"42",-675386
"43",-720343
"44",-109635
"45",838685
"46",824825
"47",-408913
"48",157559
"49",-581355
"50",393239
"51",-927084
"52",237207
"53",-40047
"54",-464785
"55",-855618
"56",294954
"57",-87106
"58",-226795
"59",493047
"60",-355005
"61",-383249
"62",-972891
"63",-102183
"64",-145460
"65",781733
"66",521827
"67",-886727
"68",-136743
"69",921425
"70",111605
"71",452290
"72",717556
"73",230373
"74",547616
"75",-189489
"76",396801
"77",923701
"78",-98769
"79",-355047
"80",-342901
"81",-636271
"82",-14756
"83",103414
"84",-571363
"85",-437129
"86",527659
"87",405138
"88",126051
"89",184524
"90",-68822
"91",-635205
"92",-703657
"93",-942577
"94",832007
"95",-136699
"96",843796
"97",-228406
"98",768494
"99",-754908
"100",-972050
