"","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues"
"DC-2010-001-A",-0.0481984562450183,-0.045413711442845,-0.0443651378837249,-0.0416344491692307,-0.0844227668776235,-0.0470071962323825,-0.0351036748451797,-0.0680566550036985,-0.0400745175426662,-0.0872291739056691,-0.0628219956160047,-0.0731113850758619,-0.111243191964789,-0.0469211288294967,-0.0365742504247446,-0.0725770791403052,-0.0337089769918756,-0.0677644335879164,-0.060218238662845,-0.0711469887684762,-0.0625221928144307,-0.0958526350286462,-0.0782118958871557,-0.032828428239784,-0.0839598832651959,-0.0717630202951935,-0.0827585953789031,-0.0609770886540285,-0.0734515203526797,-0.105183943606509,-0.106034625198153,-0.060085063813292,-0.088942793186547,-0.108701716548426,-0.0356860707491276,-0.0979561332999168,-0.022757699629653,-0.0502197823057332,-0.0801756932435954,-0.114181432945921,-0.0715594321744186,-0.0429937529993289,-0.056354660079737,-0.0555173634991033,-0.0927556790073273,-0.0471994698021524,-0.0463083799148289,-0.0703145983406961,-0.070561470885774,-0.0857932757300273,-0.0682995588675304,-0.0436913415486856,-0.083711367276767,-0.0652859004359198,-0.0622653862470161,-0.0531970320316903,-0.0446267882943841,-0.0525064189153715,-0.0828721108171321,-0.0666370539040273,-0.043395031136057,-0.0577692205683308,-0.0267110686398138,-0.0471363632684794,-0.0583188529918513,-0.0595093536198512,-0.0803056583398617,-0.059090210099919,-0.0403329022339046,-0.0542862020358637,-0.0843055120008382,-0.0697071486709765,-0.0376785519108043,-0.0925802267510211,-0.0684152347301254,-0.073468007825667,-0.0550703879038547,-0.0785263119514683,-0.0567915614028284,-0.0792098275132795,-0.0457991970108665,-0.079963797884642,-0.0399925288112064,-0.0730740101530503,-0.0347798953468291,-0.094034864933604,-0.0534424362570882,-0.0774833053136544,-0.0698175168213991,-0.0681829202775381,-0.0869946600906664,-0.0841835300935836,-0.082195061013969,-0.0669284939940869,-0.085562618778468,-0.0664160676284702,-0.0763521903024398,-0.069556038388562,-0.071082972852354,-0.048408164675175
"DC-2010-001-E",0.0399402494075101,0.0290417119958283,0.0557598302422224,0.0489862984248759,0.0466424348725653,0.00417633456976895,0.00950410657157572,0.0665590649011507,0.00553393331325725,0.0414130214185774,-0.0209865581376653,0.0232182968383054,0.0183230124785069,0.0138692227486734,0.0637007528351278,0.0502388597215993,0.0244040767649281,0.0217329416819637,0.065825028695314,0.00032393930782788,0.0624549330951224,-0.0020878442485149,0.0552007231963743,-0.00298885024513552,0.0377136178682624,0.0350964063293782,0.0249582528554518,0.0286475243505123,-0.00493691033895838,-0.00324779051614532,0.014767388278165,0.020378124854847,0.0278212070254144,0.0285756555543593,0.0408851349916793,0.0167331316824482,0.00970779619214484,0.0547648265532574,0.0390453360840224,0.0645296655243491,0.0112490022175936,0.0117360900521043,-0.00197821545729988,0.0123831629220875,0.0212771727710214,-0.00884930490406607,-0.0124459283327771,0.0387050608761766,0.0471228545933294,0.060775785249251,0.00725704306001611,0.0729378312178007,0.0160185151356275,-0.00233860970129378,0.0530396606331184,0.0311842643843392,0.0201444998498841,0.0241560591899738,0.0103823497260248,0.0996346417178392,0.0638574226817439,0.0162926954494982,0.0124563317581587,0.0298604612520927,0.0504032586710251,0.0532461958805984,0.0535042831214123,0.0286829608391788,0.0265412333091562,-0.000846693219011088,0.0566058006218489,0.0290097636346012,0.0629203597656318,0.0258871142261378,0.0151466516957417,0.0238963038433813,0.00721847787489679,0.0355371275860775,0.0286066814039899,0.0455874504704482,0.0260688707272986,0.0319123185255621,0.0149222967892504,0.0137942607792457,0.0436949758848659,0.00844777526947755,0.0372802207511454,0.0352897244358793,0.0445067920234697,0.0135908864618958,0.0196123798341239,0.0882342742694375,0.0142845711899072,0.0246428669782735,0.0336454311023982,0.0381499948289615,0.0397499851909552,0.0343290525610376,0.0320911700322829,0.0199784690112554
"KY-2009-001-B20-e",-0.0576909448752408,-0.0571538306678143,-0.0680476716473556,-0.0361737683377921,-0.0518452065030013,-0.0681496160743999,-0.0666422125411117,-0.050033950879829,-0.0537971022305136,-0.0531696683077319,-0.0656478867762622,-0.0385779344229037,-0.0642655851498803,-0.0559390393024088,-0.0653246718757115,-0.0693862158915345,-0.0314897140104082,-0.0739551054385611,-0.0696585029499042,-0.0628638463488393,-0.0347888854551734,-0.0359067776408259,-0.0630579117978373,-0.0444716173938582,-0.0798518001005764,-0.0614146539015191,-0.0710998216338218,-0.0576947830790357,-0.0430261771177565,-0.0203445738851387,-0.0571953568720136,-0.0729626925632772,-0.0536764000491211,-0.0435096777352382,-0.0631972150755445,-0.0290678884237861,-0.0571762753935675,-0.0461799997436789,-0.0366922043289801,-0.0427630103539059,-0.034447573742006,-0.0664289244520429,-0.0719638705927223,-0.042448173986339,-0.0614850436340705,-0.0693273346549903,-0.0735738861561195,-0.0609378378485498,-0.0711161097375507,-0.045800947543315,-0.0438696207712266,-0.0856835985368156,0.00969307178738165,-0.0413286217019158,-0.0824108935704144,-0.0636189649159429,-0.060211676294355,-0.0541289798569296,-0.0600340315214345,-0.0421425427710589,-0.0544755607857977,-0.0749328741569413,-0.0485402975427982,-0.0557959788160306,-0.0360527117233358,-0.0600514757804941,-0.0400736651703337,-0.0676198164708729,-0.0488588133776397,-0.0444968868768366,-0.0599435137103536,-0.0830602146865402,-0.0748751640066433,-0.059586656575483,-0.049163120359732,-0.0628701538766999,-0.0628532943993918,-0.0583405629168381,-0.0527739963545527,-0.013591891538746,-0.0666683219255753,-0.0262952136877692,-0.0309042080886114,-0.0446177367135947,-0.0762287548087778,-0.0443547155012366,-0.046551000262555,-0.0487014354755145,-0.0463154842245236,-0.0358814435745897,-0.082185079230522,-0.0490267387707661,-0.0530278194304043,-0.0336539556510394,-0.0455185495200203,-0.0439918441110503,-0.0688045725184659,-0.0616151804901456,-0.00923882625641661,-0.0457653279301718
"KY-2009-001-C",0.102446298704268,0.10537356431951,0.0752631732785519,0.103607444167464,0.0768659992609729,0.0933566769390194,0.112402937447545,0.113643145416638,0.105320965046741,0.102478966881352,0.129274560537884,0.102327389119434,0.122860884422302,0.0953555825309491,0.044738416713556,0.0862733315982087,0.101696739348191,0.0828180403021282,0.117633402393894,0.0974532999310893,0.0573613624362939,0.0919718634976974,0.107398860780053,0.173652178432605,0.0939306968851904,0.0852615752429752,0.0468763159795365,0.107959182916004,0.10281282178247,0.0468021123097359,0.103807949620423,0.0962182029021533,0.0882380315845903,0.100287061256601,0.1112849554151,0.117265055520948,0.0967370161390435,0.0861108694364777,0.103154408449238,0.103868593472527,0.101531015530813,0.108887846787231,0.0991317608278461,0.12842425117917,0.106408452709939,0.117483962739237,0.117990687741701,0.0994695032651523,0.108747571388013,0.16294596974005,0.174416157842284,0.115611107581102,0.0803876285107036,0.111784848147979,0.0802830080703002,0.100295002082979,0.135553476163457,0.0904627266640804,0.0884572398778722,0.113407465115794,0.171519452378265,0.105576455102511,0.108608234303182,0.0609429596158977,0.0968409922060038,0.0951198946201136,0.120495589369474,0.0561079381138035,0.0963044563717161,0.105451352801767,0.0805756926317907,0.0845985375449004,0.0980845922094283,0.0921777690049252,0.0693511907887033,0.0727597512790224,0.0948063542969192,0.108165217469148,0.105197613061841,0.0581302690590402,0.075239612560779,0.091030792830441,0.0697007427233377,0.0416323392035865,0.101329366657917,0.113808774363747,0.115708021144887,0.114051020773986,0.110586388480267,0.0885119654674526,0.0959468354584312,0.0913269696064259,0.0954649282874234,0.100208247291667,0.104058745385242,0.111143066321581,0.145368727069025,0.0782027084544159,0.0738310036417336,0.102291139887082
"KY-2009-001-D",0.296034352953279,0.340163188131791,0.314400028769878,0.340949162797596,0.251912566473255,0.351104796310399,0.365875293924028,0.452242920892093,0.227555995905356,0.334829231007369,0.283067814209893,0.331339899520548,0.241399872402333,0.292801968027817,0.303980795295039,0.330762666557835,0.265114421368398,-0.0401334058250785,0.287777179055216,0.367380751007863,0.413071514756377,0.303240306451382,0.343349361564023,0.325966143307775,0.277590292858544,0.230356290579802,0.344447350401524,0.296866260259855,0.182930810663041,0.346488871884253,-0.0175639758815282,0.337749484310467,0.390372901633746,0.364714651367902,0.335165069206557,0.392617485241498,-0.0221943603447255,0.323803899835354,0.356232605762069,0.326558236941627,0.309727658371923,0.317273383554951,0.408938722372008,0.221283836768235,0.373393043657268,-0.0180711702455229,0.352082805052917,0.292047847105777,0.327810895465916,0.363317879893642,0.369896641021595,0.301024334179096,0.284073581143952,0.377389689767671,0.211154436179227,0.360352612532139,0.343062034403572,0.328794095466413,0.33779577823791,0.393302122626788,0.32373161132886,0.29545075544938,0.353668685368551,0.436888483815107,0.411179402133657,0.378930537516426,0.314472679850761,0.332083593070173,0.310857199598148,0.364004639917074,0.288103838928505,-0.0571464317026786,0.410125558847466,0.243497581427795,0.41985533049098,0.318469945413,0.339940913839154,0.270370669252111,-0.0257603740913131,0.373290007149194,0.402511464325371,0.394670747841714,0.35795991687299,0.299209317220452,0.269391486149331,0.249685283661369,0.277226194940969,0.332999082908593,0.361050521406866,0.305651552392822,0.297869623596444,0.333569887469192,0.246937912062556,0.366302387599812,0.233383969120294,0.430413340509892,0.333679746071218,0.324712750335687,0.326153351185583,0.291998001609041
"NC-2010-001-009",-0.102175007831466,-0.0982903380174311,-0.0580994801998426,-0.093502435743581,-0.0567983171365574,-0.099822926277254,-0.0982911664825066,-0.0899037568251958,-0.102575584383868,-0.051597211605709,-0.0862497158810241,-0.0693583065566167,-0.0629558752082145,-0.085790600093796,-0.0832726524418941,-0.124867946372251,-0.0707262518323518,-0.0914796359838467,-0.076838638430732,-0.0822717543931816,-0.0945291000011183,-0.0906244747908925,-0.103790332015434,-0.119683964301011,-0.0700276545319566,-0.107608924655924,-0.0835515832910887,-0.0673292027405883,-0.0892106632835466,-0.0426818493017687,-0.0856146699413129,-0.0849217660491828,-0.0654419764868494,-0.0857603856660442,-0.0871431011192637,-0.0848188187358484,-0.0862278816129296,-0.104789974965735,-0.0677909206191622,-0.100166744907929,-0.101102097602289,-0.0734136112059029,-0.116794091368114,-0.0825511241257768,-0.0912457331215593,-0.0667215920070158,-0.0877501663467192,-0.0943633469512488,-0.0810233858411404,-0.0622233452722086,-0.102554834066166,-0.0877245418376913,-0.0851812394381638,-0.0921166222840974,-0.103302648377876,-0.0556009077470398,-0.0627727182208997,-0.0870461992639191,-0.0751191124657848,-0.0765473105435844,-0.115647649027738,-0.0815472178383944,-0.109090662920676,-0.051874881547742,-0.0785631004569867,-0.0876081739558408,-0.0803685325599855,-0.0790811375498016,-0.091283536857056,-0.071337530513329,-0.0730932591694408,-0.07972678179181,-0.0974177950356857,-0.0796055504832355,-0.105383669862581,-0.102719492990992,-0.0336056789558177,-0.0695752573788293,-0.0856730422689149,-0.0778169181813316,-0.0997487641893538,-0.101656813796298,-0.0749583794588283,-0.0809696288937233,-0.0821458896926579,-0.0751744693742671,-0.0862801922262551,-0.0838790313395363,-0.0161007418188619,-0.0821698209596488,-0.0752049187643756,-0.0922296808771153,-0.0709881531702553,-0.0888712844043318,-0.0794629207631383,-0.0995025920451499,-0.0929889480791958,-0.065937472398282,-0.113529367305193,-0.0930660622611354
"NC-2010-001-010",0.066034767515982,0.0632935860256898,0.099518159452133,0.0922302011165341,0.0585530851604231,-0.000368853233332538,0.0748546782566046,0.0811555151502372,0.0650368386042138,0.0769578372543114,0.0588792016686261,0.0785108596215554,0.0900323086472791,0.0327481693152942,0.119138066783669,0.0954312983578045,0.0525357744221366,0.059529507731836,0.0361387740112423,0.104246025669998,0.0931169184987709,0.0986851262366099,0.0734581361192894,0.0805565051948293,0.0395358580583838,0.0384314802265888,0.0461689540875249,0.0798394324239442,0.0508373952705698,-0.0256851820494207,0.101452574948486,0.114232830932188,0.0976181642772084,0.0731276606461589,0.0652980829105904,0.0352943827252198,0.0917473198930299,-0.0287570781931668,0.102917666381089,-0.0563868496534346,0.0791228466647158,0.0956697523968965,0.124996445124322,0.0771507245119988,0.0721153540594299,0.105127346413412,0.0686666428494508,0.0738240391708587,0.0592364024653413,0.0804448266424696,0.0992765167229444,0.0880252564379807,0.103314171938357,0.0695996554685909,0.0714290749770361,0.108575805275993,0.132674138331297,0.0924613659859321,0.0948686581355526,0.102690592542449,0.0594090455841983,0.0920806942167892,-0.0346595485802171,0.0922515726703459,0.0607532744108661,-0.0293867875485739,0.0148734534951001,0.0189009940342894,-0.0371203431033366,0.094050636993932,0.058464032038311,0.0669235973598187,0.0950696937069015,0.0738532775212262,0.0705360089706217,0.0745141063832745,0.0806779183429801,0.120263210710575,-0.00540027846349249,0.0255845621571815,-0.0314131288877368,0.0971948465349208,0.097035559943929,0.11113175151384,0.0883492293100121,0.0902647070380953,0.0793870420662384,0.0893210799930451,0.0782009925670176,0.104714483316852,-0.0165495459067504,0.0690617662750101,0.0159045612494442,0.10559914440043,0.102023817404234,-0.00930627519237691,0.106395224874274,0.0779757822234801,-0.0348744193466242,0.116073207226779
"NC-2010-001-5-B18-a",0.0713024847568729,0.204041672150192,0.140176650337758,0.14555977106492,0.192623937810279,0.188868945117673,0.192369257398127,0.159731640408479,0.137481763603838,0.159851624712989,0.168669028209755,0.165087372842375,0.183858967906282,0.12573613298396,0.187747085356134,0.0633190796810854,0.110672070012337,-0.0326673430701182,0.162787724726017,-0.00899423047737243,0.140061342609704,0.130048143253167,0.085821882112376,0.206049699663746,0.154454014074329,0.248687949516035,0.076604756493026,0.152303594309328,0.191821601090123,0.169933305045564,0.172858121334424,0.131500986477726,0.164737160930196,0.206027120835276,0.0945249156696773,0.168935355497936,0.177139360332679,0.158050907964777,0.114205116391857,0.147439103890102,0.133586704950156,0.140230295364923,0.190108636644035,0.0909744838504705,0.190790326953019,0.114467463079297,0.163269289548508,0.108146323643239,0.111622113396601,0.15772110263284,0.13220200128859,0.199560777233317,0.126307737795489,0.123154905131733,0.196168884824237,0.191409803812221,0.154368355099775,0.153664192121859,0.19129925538232,0.185320325359117,0.0978923276354182,-0.0123976814584508,0.197038023442962,0.0159460260552158,0.104433327174028,0.121524702532831,-0.0362444187336597,0.156664651541275,0.1509967029738,-0.0554813178959693,0.146710496127277,0.117411306464212,0.0789149494472989,0.102175977761293,0.188217306948131,0.0564288556960943,0.223447339287961,0.137498961077478,0.147211488050125,0.183507227746738,0.0872187292946237,0.186498362696563,0.200984930177762,0.159278003664045,0.104632059034626,-0.0494293755621456,0.0775280794850685,0.161787992126657,0.140238775421992,0.168718165190066,0.143800641250138,0.0764594151402045,0.106624601485466,0.153367496672101,0.119769433090003,0.140194332957388,0.132645456864645,0.172810402594332,0.205546878677783,0.234829995834463
"NC-2010-001-5-C",0.0836786541092337,0.0674515879946847,0.0465638312766449,0.0647399443365867,0.0838842422081221,0.0561003137586705,0.076301329773321,0.0994419651773351,0.11851381524801,0.0642411463751186,0.0541117711186808,0.0617791647208281,0.0357951520861981,0.0793684543151528,0.0984518055443246,0.0721958771151367,0.0770109923218865,-0.0491891117641764,0.0856474092128885,0.0205641589413143,0.079962160540288,0.0889105219858134,0.0618789713168127,0.0730930399204339,0.0658697638052688,0.0880720065228808,0.0812107273466991,0.0310576250193929,0.0900371799150953,0.0711539317795431,0.0643590408099315,0.0499517264755569,0.0724208499508188,0.0815953056102147,0.059268550853337,0.0776294914444099,0.0683795475768603,0.0795680078132358,0.00156419230168603,0.0783979412627913,0.0661890748574733,0.0701282188353687,0.0984120568794744,0.100071209884708,0.093824181581585,0.0811881621322841,0.0868076242643441,0.090979379744131,0.042800754401357,0.0113458956705765,0.0507770661695412,0.0731340940226916,0.0756091429470196,-0.0320904403965609,0.0322268149750364,0.0842379306981474,0.0810666964683648,0.0633721480925415,0.0875582864735753,0.0550816687665438,0.0058455764047353,0.076969741854703,0.0669862983211981,0.0408223956062662,0.0665129734709094,0.0985826395331019,0.0718051756480793,0.0685399849124592,0.0573391731806781,-0.0554131342855683,0.0685269272600004,0.0406852811333774,0.105139965287232,0.0597308083689191,0.0283450738795176,0.0914729404193425,-0.0348415556010029,0.0684530019706961,0.0944548479224018,0.0230143591470155,0.0923283506740405,0.105809129107426,0.0825074466782737,0.0592949488560989,0.0821453737086621,-0.0732752004356727,0.0492078855319691,-0.00438569412441501,0.0292483099215861,0.0506654412133452,0.0718687602265471,0.0789957309712693,0.0524592616854125,0.0730623711447013,0.0709706062065985,0.0886068141818993,0.0755754749641154,0.0595330054087404,0.0665958265217792,-0.041503586252214
"NC-2010-001-B",-0.0809605118176039,-0.0861346410508152,-0.0653726129457114,-0.072446332061159,-0.0989755462802151,-0.0911466485708349,-0.0716896613232198,-0.11979789716997,-0.000000000251054456687341,-0.104102430100966,-0.0826592067316168,-0.0880241969303071,-0.0143280270571132,0.00703816650475083,-0.0527513115021273,-0.0312901914782872,-0.0702300818387061,-0.0901009248582376,-0.0833839846106093,-0.0962194735778549,-0.0786256945040265,-0.0547649070010114,-0.0913504932956935,-0.0687017289451478,-0.0477590138165234,-0.049782227249317,-0.00621167631187747,-0.11130713441311,-0.0419196992288358,-0.0794141393175062,-0.0457547811088874,-0.0870285028060405,-0.0707832396591823,-0.0701667889340968,-0.0551687593307706,-0.108636695467462,-0.0727622115134965,-0.0882590968152357,-0.0581396109531448,-0.125756295406963,-0.0765784275839859,-0.0120221295386263,-0.0655654577994349,-0.0504362524500531,-0.112051450880077,-0.071398290468378,-0.0649084818717038,-0.0803583184423863,-0.0726664392968943,-0.104995250086101,-0.120683050897425,-0.0653640116894038,-0.0899934422946094,-0.0758779710843144,-0.0962449894221419,-0.0863577439598192,-0.0750919928120676,-0.0760224844065533,-0.0425820692389974,-0.0988282655358101,-0.0581246007206267,-0.0965598782030722,-0.0430038335489343,-0.0678889578724211,-0.0520399050866502,-0.0564407356799703,-0.087614765464554,-0.0884038082981509,-0.0646122840897147,-0.0751699082387092,-0.0912911153764832,-0.0639149279953876,-0.11126402434456,-0.0382742530684388,-0.0635576126135854,-0.0897591045985998,-0.0927503699379679,-0.0852735072915708,-0.0674836095797325,-0.0789554521951801,-0.0771881024453337,-0.0809386139561282,0.0170379872920814,-0.0825367280270415,-0.0830546234685636,-0.0718619284736962,-0.11858562846987,-0.00619233967533642,0.0142629793875954,-0.118654726736473,0.0145654601648253,-0.0939205082284106,-0.0534461772346449,-0.0656942156862574,-0.0709362235334656,-0.108877861202896,-0.025914764090768,-0.0775563487222509,-0.0969145892298435,-0.124475311792968
