"","x"
"1",222884
"2",50810
"3",-930490
"4",139744
"5",-871280
"6",-173739
"7",-669645
"8",-330608
"9",331875
"10",-913163
"11",-802442
"12",-472225
"13",-161458
"14",-489134
"15",-896519
"16",-247505
"17",-66313
"18",509442
"19",-874448
"20",-24911
"21",-742982
"22",720561
"23",42052
"24",173368
"25",-168013
"26",448302
"27",41059
"28",-975505
"29",-405682
"30",564964
"31",-264171
"32",100084
"33",951009
"34",-82971
"35",29265
"36",-869180
"37",-265988
"38",704046
"39",-848273
"40",840993
"41",-216878
"42",-714164
"43",72181
"44",-812018
"45",741844
"46",-555021
"47",249942
"48",-142331
"49",-331443
"50",380152
"51",651582
"52",-834420
"53",-925182
"54",-674353
"55",250857
"56",-425375
"57",-303919
"58",-789602
"59",339572
"60",336265
"61",-256923
"62",771489
"63",2900
"64",545891
"65",-652288
"66",-511726
"67",203599
"68",591987
"69",753991
"70",675419
"71",-958660
"72",934540
"73",-789928
"74",-755041
"75",875674
"76",810010
"77",-928294
"78",820249
"79",-263772
"80",-326222
"81",524852
"82",-953709
"83",684768
"84",-898772
"85",30525
"86",-804544
"87",-203856
"88",922861
"89",-585015
"90",-681841
"91",-335902
"92",-13059
"93",995344
"94",260472
"95",-995607
"96",899641
"97",297194
"98",-409544
"99",721965
"100",310403
