"","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues"
"CANE9233-US47-0011",0.425537121039976,0.536912350291261,0.481168848811507,0.378737428792806,0.485160077431844,0.51300456240266,0.445265382677731,0.460374765779346,0.530999752451226,0.536830526689348,0.540931148317926,0.563294613073438,0.443049195507238,0.537005638767545,0.397588006821644,0.598203765808502,0.450977359356487,0.519235382783895,0.513717250690386,0.47629833220938,0.389856325657655,0.460075049699711,0.538587111593898,0.529344685503047,0.480165332513721,0.480556063340475,0.388272735144373,0.484712844721201,0.500035181329304,0.549530490222806,0.513845047385415,0.417243102950327,0.528540132917427,0.237635653196508,0.411045070088811,0.507500582287316,0.57447882416603,0.3770506554805,0.548454829952303,0.541070169870637,0.545814415127677,0.452420277476627,0.28154527344239,0.505276646056718,0.53441087624009,0.322818732146566,0.29620644236294,0.457407361514889,0.49921301577069,0.518878401972576,0.49054845265737,0.476596144488443,0.435508349126584,0.521772793800143,0.520058917472107,0.480588290108721,0.433342690452536,0.482626717418384,0.413684333738523,0.437827466737951,0.413968296446484,0.517079856700451,0.475720465793979,0.381961024816972,0.49398647686343,0.538865265584707,0.550035953481195,0.329473082053534,0.480088224820777,0.482619924598185,0.456290029048702,0.532594234649945,0.575142927255024,0.473552452532383,0.492827743540404,0.480416074593627,0.38979836051322,0.482111104421668,0.47697320082498,0.474890244765822,0.370517295874728,0.355152916699345,0.543954446855629,0.613782779202842,0.472080682109711,0.414496545360575,0.425541878556601,0.412532807699227,0.426396600350689,0.556120699734452,0.168436646907537,0.511907736113747,0.455049493946022,0.446195273850741,0.553985100972495,0.478816167874983,0.508878811955171,0.553163512842152,0.459468895739158,0.310378969725845
"DC-2010-001-A",-0.109347223749749,-0.0697145545258901,-0.105049059799344,-0.081651756420288,-0.0170271918415493,0.00637770006127134,-0.0783440519696717,-0.135100577454228,-0.0192236802311008,-0.0846102157234017,-0.111959997394106,-0.151458096971314,-0.12875581743558,-0.0680236181547329,-0.0645639079970784,-0.111386831123718,-0.0755193278430689,-0.0973244690533526,-0.127137588462055,-0.101980995566824,-0.119042493389883,-0.0950246636595616,-0.0790277663133047,-0.0711122060769611,-0.121845962170681,-0.0935344918983144,-0.101934322745495,-0.0354790843911348,-0.0990802541030952,-0.0269324201974144,-0.071282185975072,-0.0942761124095627,-0.0381305891838953,-0.16452892081122,-0.0289424083572776,-0.127621454337321,-0.0346213222254276,-0.0990980115832965,-0.0829821655530916,-0.0832813920976605,-0.103265165422312,-0.109349455592134,-0.0957008102754277,-0.0853465879935189,-0.14761550891714,-0.114250075688668,-0.0502081382865088,-0.0270095044575768,-0.107845047156797,-0.05996759667281,0.00444679235831009,-0.0569430348122678,-0.027744952546238,-0.102499584527014,-0.147795093649055,-0.0780492569214309,-0.109427641858284,-0.0760556566245779,-0.067060094685258,-0.143454500834045,-0.0559538023880911,-0.0969285296340283,-0.098489914294015,-0.0950743304166222,-0.110542880496452,-0.0832686128215,-0.073365737942403,-0.0674388021593715,-0.0788228755770043,-0.0610772219418987,-0.0742843015150208,-0.0860966553982473,-0.0717803773196435,-0.0953620011095961,-0.0922141960489868,-0.135927734398408,-0.090923621986684,-0.0524504973712915,-0.0672142081121025,-0.0585898165515146,-0.13051309368275,-0.10903814752752,-0.0514325761843705,-0.160319409892761,-0.114482190164114,-0.0426539644049682,-0.0885456983918755,-0.131058935594172,-0.0927878512591001,-0.0395552469726669,-0.0568683530989274,-0.0695649221010082,-0.126782813836168,-0.106454263515825,-0.0373490730643839,-0.12221993551811,-0.0307354606541668,-0.0715560344266806,-0.0744388157183586,-0.0361834732535665
"DC-2010-001-E",0.0720246479525365,0.0713660284039386,0.00915065653318124,0.0276090568582559,0.0318340604947243,0.0489020477610184,0.0557034811657005,0.0553730582921201,0.0469923127047274,0.0632553884340705,0.0593133747392039,0.0457758964547359,0.0496409868413672,0.0829777368942174,0.0379505514151768,0.186937286397655,0.0423144322632246,0.0470391378072059,0.0686372127422629,0.0388136256094956,0.0916830238661999,0.0441448965632586,0.114599940196326,0.0721177473741485,0.00497172695876023,0.0571468848186202,0.0294560696768524,0.0442248567051386,0.0723346247505772,0.0770234706917871,0.0425864635786086,0.0521979442627393,0.0676094089593881,0.0513508595077226,0.0952382272863808,0.0712138554375283,0.0393129806126765,0.0782780099573094,0.0653285997664396,0.056611943371946,0.0413420420719032,0.0474092944257571,0.0328307502031207,0.0603783443969641,0.0917082272754725,0.0923922691618046,0.0886883475802977,0.0502230788766531,0.0669490262547351,0.0453214976682345,0.0672652181704421,0.0515176639810833,0.00648580982288167,0.0636559329636669,0.0794814941156169,0.0365658306989608,0.0072286790345073,0.0325208687992848,0.0888311497379154,-0.000056838484064764,0.147984077382815,0.131477530470249,0.110260135447403,0.154388773086447,0.079863039554662,0.024331267567888,0.11541588021505,0.068954092145174,0.0981669016344634,0.0764336193982222,0.0418874632209739,0.0449590199101088,0.0581084853704059,0.0763513923643274,0.0557279654287157,0.0810025287879568,0.0463407846358917,0.0602942701007566,0.0785996914550596,0.0996314238516703,0.0331812320499018,0.0241052838930955,0.0249810930007589,0.0336984660241106,0.0218923618750135,0.0689115450668874,-0.000735019319444825,0.073386903321279,0.0792063379235833,0.0812593356400033,0.040807843755424,0.0672405133583751,0.0467571222883462,0.049477671146102,0.0444643600239419,0.0500742303267207,0.0821428728002159,0.00716140298391134,0.0709133046966597,0.0807965446466022
"KY-2009-001-B20-e",-0.163043510494566,-0.15694651764142,-0.131594581078159,-0.108262172317517,-0.0418930761990952,-0.171154802996473,-0.0942702301422915,-0.150602117500157,-0.0683269599773558,-0.137200416991575,-0.0961870598725416,-0.087660865591089,-0.134086051422769,-0.128706833360781,-0.0490688779433437,-0.152332121996123,-0.0597297100703526,-0.110068885864464,-0.138695806885935,-0.202755757150795,-0.0687729132035519,-0.13980490721033,-0.132797892109648,-0.127211905647854,-0.104552432899579,-0.134593557186374,-0.202723261030328,-0.0758843501567611,-0.130526819294832,-0.120525632716378,-0.160245267881557,-0.0998988196452013,-0.133288920017691,-0.0947949974121374,-0.114334537706038,-0.13741346497987,-0.199714676641217,-0.138044453972804,-0.0972415450726459,-0.141150899368417,-0.171744468709171,-0.154733216232871,-0.135326587291932,-0.0606466504966867,-0.162382205576278,-0.0392069773159078,-0.163582964669497,-0.203038358221371,-0.185054040574558,-0.137873397688299,-0.0925231212123003,-0.119301801829952,-0.129132570292505,-0.134313450532649,-0.155891599461441,-0.173396684455243,-0.142855662293716,-0.110622998491868,-0.124184588084765,-0.106620488755342,-0.234861740477721,-0.173995498824832,-0.233655564758108,-0.155811793460817,-0.103072087301948,-0.132879759269211,-0.0505564291764334,-0.101364165315333,-0.0271651946921061,-0.104587564824702,-0.141646210958639,-0.121660723253641,-0.150536097421166,-0.0968515621587384,-0.15215041709525,-0.13878486337003,-0.158311947190215,-0.140448005977053,-0.0561880129305086,-0.13322102563128,-0.157648979029993,-0.114485163291929,-0.0786550925371602,-0.0948757367553038,-0.195136323382829,-0.117257968403399,-0.142377724579791,-0.151393361671141,-0.0597399541340545,-0.119776993619073,-0.130516060416498,-0.0999554453032798,-0.145709716829082,-0.110343295900203,-0.130989610476234,-0.169285898898904,-0.158707661548166,-0.19473411822104,-0.144457190885521,-0.104067678828163
"KY-2009-001-C",0.0253875356529438,0.162463134414952,0.0969431676216899,0.085353028477247,0.115249186955316,-0.00589008952600258,0.0102910299249881,0.0700743028799673,-0.000360731479009817,0.0994335735684721,0.101983374135117,0.0305398850786269,0.152651374995638,0.114261394431368,0.100708710652905,0.0325781485712604,0.136128969622766,0.103876766809451,0.0941056128350415,0.0668215605354364,0.171803554456286,0.0502191625809172,0.100332383959109,0.121685461279778,0.103535636046307,-0.063520932404612,0.132006540377655,0.0283547488981013,0.176447058421537,0.160399301650041,0.107177177140841,0.0712975833451234,0.0999447529313643,0.149736254144791,0.0642369144221236,0.112642985459991,0.0998395990136648,0.0763119762486325,0.128767183205079,0.0389119473729229,0.174799344666772,0.0636366329565207,0.158731976646851,0.0295342007686013,0.0827851966074399,0.124649439721861,0.10600522507543,0.112677171181638,0.115259903128239,0.141215690293022,0.013733249858679,0.0931326354728001,0.0949888505321873,0.149597033585002,0.105159781225808,0.114271130800555,0.0729599890727242,0.177603910362254,0.15219908128748,0.141729300163128,0.0870360821920194,-0.0503990051220722,0.0855832607496876,0.134691790342354,0.0887975889098765,0.0732264321351319,0.101155646375975,0.0721969914155229,0.109750323031688,0.0640439151886552,0.0931357244449203,0.151467209508892,0.135960698522148,0.130680626255537,0.0513594890660552,0.0971189673287857,0.126339259617523,0.0611130919068131,0.0642337590102104,0.126606757007133,0.110816896513056,0.131496766485895,-0.0229339417373425,0.088864432922296,0.129232452125845,0.0459068686514865,0.0698916368316073,0.0846041428907645,0.0503706268370364,0.0802511197148416,0.121981667732943,-0.0181876216400169,0.169551533531443,0.0874382061652776,0.0894117755565981,0.115756859515819,0.103752343551854,0.0223691520849864,0.0734297253718244,0.0576765882084602
"KY-2009-001-D",0.20493650565875,0.212710745117664,0.222544362056969,0.199094219021808,0.208953775538797,0.31480965287746,0.17521011762733,0.291389111037011,0.185145271906518,0.0787043001960287,0.270119817121464,0.153817447942824,0.178178744757363,0.227541079414867,0.110632139877453,0.114146850081153,0.14977074675184,0.186988085563717,0.148764723384088,0.273892096340231,0.103994330287948,0.22455349866096,0.0045315967902361,0.136313350754901,0.243356743362641,0.268937346697199,0.220956132198021,0.0877737824553738,0.296811125786782,0.267513359963349,0.130612943051957,0.176811840840978,0.164642639190014,0.0359794331879168,0.316013114884545,0.0866469501142659,0.180736417948006,0.181794179344943,0.182897777815609,0.265655141282626,0.338355426821898,0.214373624629923,0.217478491099361,0.109807325374393,0.092930210571487,0.238417195713403,0.129026719601161,0.0467507875848555,0.214291078698611,0.228303015620596,0.184067066539346,0.173401403236036,0.219255562949572,0.255882928269433,0.220093872175807,0.163207663711253,0.274406381235819,0.117974154351367,0.178152912386434,0.0874390328249806,-0.0686785326929958,0.236425374302785,0.12927445398656,0.217578777260391,0.258523003787231,0.13320667309409,0.155232771979874,0.159524772619352,0.191532396085757,0.23585827646475,0.190187798617695,0.249510318054149,0.193017553985568,0.212748181906827,0.296173074151476,0.245358524187733,0.12433101407587,0.203488615484673,0.218445940869766,0.174352593958153,0.125337736301661,0.159695030117521,0.14947430761347,0.1619821808356,0.241922310440577,0.237443833324751,0.140519913771907,0.255520281075011,0.107981123779436,0.124578036059804,0.249428827297704,0.241360145773155,0.225321832974122,0.179471701390561,0.160766937091217,0.176378908467431,0.253863257984544,0.139086583391459,0.277869286595626,0.189203219906641
"NC-2010-001-009",0.00207455342499374,-0.0038788257934069,0.0150345453208654,0.0106481992770475,-0.0568614026453886,0.0147343673745623,-0.153793376163262,-0.0199593014864012,0.0461469262141069,-0.0388095599847411,-0.000991466870891222,-0.105290891738082,-0.0013607995814852,-0.0366060439870573,-0.0331484426274596,-0.00333335175226715,-0.05222607931098,-0.00415645348363801,-0.0320759697353876,-0.0499506488605174,-0.179061792672652,-0.184371490214308,-0.031907717588489,0.0505604460910887,-0.0283334179880353,-0.0268220985733681,-0.0392635678342245,0.00882321170693002,-0.0506734512925983,-0.0574456613236064,-0.019940650623948,-0.0363253860521585,-0.0326059421708684,0.0253558767127144,-0.169298570403518,-0.0623265434696195,-0.0800763340875227,-0.213631787666907,-0.0759646691267966,-0.0177680133513629,-0.2135687796187,-0.0407434488727028,-0.0619676172428072,0.00580877685362188,0.0295904205593864,-0.0455317108513637,-0.0417830554270655,-0.0307759605398275,0.0136363317242606,-0.000297441526497336,-0.0302913128458892,0.0231601463602363,0.013259349923748,0.0137646435894485,-0.0142983543494202,-0.0657216745463074,0.00443050232154051,0.0417353474531483,0.0283944087616428,-0.0304330346729865,0.00276357932616008,-0.0427874162411762,-0.0250977668806728,0.0229296787999679,-0.0469177803651784,-0.029417792868579,-0.196591102679401,-0.0221530364167162,0.0211691097002059,-0.0819376265557161,-0.00512710870351393,-0.0582984025808819,-0.141931745401463,0.00287666377461303,-0.0110987800224513,-0.0419774730606755,-0.0104548405797882,-0.0607213218290725,-0.176364721252182,-0.0153678988554724,0.0118805083069061,-0.0486781375055002,-0.0459488785761258,-0.0015417833744545,-0.0192757729940563,-0.0562259469695899,0.00176804759680085,0.0122591813132593,0.0138922714193143,-0.0592981268122501,-0.0320144921513954,-0.0571776116913315,-0.0170091244698962,-0.0170707294445906,-0.0565555939384796,-0.0349609715582319,-0.0709149646969043,0.00388866194794168,0.133873148317562,-0.18703955004572
"NC-2010-001-010",-0.026236294869338,-0.0339936621075946,-0.0592736528922716,-0.00113521932347044,-0.0965085819266307,-0.0415816923893455,-0.103017438417377,-0.0974181199159053,-0.132982929703293,-0.100112812185743,-0.0731224630540015,-0.0795620590707279,-0.0544699294495293,-0.0821800489584181,-0.0631778873992373,-0.127047334585336,-0.0450537177609521,-0.0462059264106697,-0.0563288595186362,-0.0235037751955453,-0.14888101897298,-0.135476751381563,-0.0674804187028752,-0.0424783288889042,-0.0175584805229684,-0.0544881002958441,-0.0571032580629186,-0.105010500563296,0.00306477815956064,-0.0310392163959249,-0.0393875889394337,-0.09037366909465,-0.119681528245207,-0.0971129411740554,-0.100452615146714,-0.0824613251807178,-0.0219429659224952,-0.16910019649227,-0.0708774820739199,-0.0468778022617462,-0.137713803990267,-0.0144690368173193,-0.11608899504059,-0.115962510209745,-0.115535278696978,-0.0916497366213962,-0.0894163011769721,-0.096012011146127,-0.0619828128699119,-0.0312610911569664,-0.112622276938195,-0.0228056667363715,-0.0889551250936839,-0.0213158985279773,-0.0417296585118417,-0.0208298229786201,-0.118380654676714,-0.118701020355471,-0.00283454969002137,-0.0380219594327436,-0.135041757036428,-0.0999635378086115,-0.0845182262618899,-0.00244454183735702,-0.0811971238466602,-0.094048239110435,-0.160291801281207,-0.0810376999167465,-0.0386306154284447,-0.0444059527744418,-0.0896796212313686,-0.0582762561682474,-0.0770279298736903,-0.0115589213403535,-0.0746067658618627,-0.0530383769866722,-0.0679998306661865,0.0160950501489931,-0.115899081856931,-0.039784442108947,-0.0619006665774507,-0.107645982355376,-0.0884480749940781,-0.0492433464127208,-0.0106565092337221,-0.0830739818217076,-0.11009825840668,-0.0881097313626872,-0.0713153421459797,-0.0694172376185564,-0.0185189034740408,-0.0624675380748243,-0.0734035369429074,-0.0719804757133536,-0.0370105532979685,-0.024647967689038,-0.0518276408749072,-0.0453662897861196,-0.0355237397704289,-0.139273962027868
"NC-2010-001-5-B18-a",0.0228673215668559,0.133560474367454,-0.0186099612872626,-0.0265259763530949,0.0304723636609962,0.0428023209113528,0.0169434200979929,0.0370673949201571,0.045168336367919,-0.0576222514717031,0.0563181433234712,0.0147410159984733,0.0420238152035455,0.0395441003975266,0.0452559273526954,-0.0543770537054154,0.0363085374568158,0.0641684551086611,0.0305936370901494,0.0341064126032355,-0.00126824141520766,-0.0450754960195369,-0.0362164950918858,0.0031669634759232,0.0474332117525024,0.0682979106343201,0.0112519413113816,0.0456801088673256,-0.0149464695592882,0.0412489550419428,0.0281292843647428,0.0640759353307946,0.0459548731410538,-0.0194253494294647,0.0178866312906783,-0.0299866227653574,0.062537742583961,0.0304376844437263,0.0379847002389444,0.0310262858182576,0.0198442149841505,0.0526060597935676,-0.0556997935306296,0.0279977522407586,-0.0217814728054391,0.0554012904902943,0.0470119951222575,0.0273494937364961,0.0249778723004424,-0.00896976012902735,0.075503464143859,-0.0545476328599749,-0.0362467658805112,0.0380287663735542,0.0186108933215708,0.0490555077212949,0.0463796769667642,0.0440395537822725,0.0120263009502772,-0.0602323097161374,0.0462122023181961,-0.00792545419004133,0.0368031922349652,0.0292898900321386,0.0452093738834032,0.050577609189546,0.0646846803716967,0.0332374836369196,0.00978270266819012,0.0113613010317669,0.0453775825882958,0.0100184930025342,-0.0583503883279877,0.0083042904510191,-0.0110393591755931,0.0565688327865661,0.0669495040725192,-0.00534654533244254,0.0573495737230161,0.0155238189453324,0.113826428745129,-0.028430247528466,0.0112405797761877,0.0129859330324586,0.024383570964041,0.0270304373345407,-0.000347504422374214,-0.0182394525486346,0.0464244706966274,0.082589883501608,0.0714545718061791,0.0111381755179056,0.0595756522110122,-0.0248890460377381,-0.000215094946549158,0.060548702278631,0.0478404362648664,-0.0199935837234593,0.0652124889140265,0.0460364419779076
"NC-2010-001-5-C",0.188721513204546,0.119493960480959,0.0675947555607565,0.111143227648724,0.142583273778406,0.07546431670846,0.125813422992548,0.00195618896639475,0.155075845272924,0.0746773107605263,0.147199895985063,0.134159800010585,0.116179097217807,0.122399210285021,0.110417371243416,0.0944616565771567,0.0650571486420146,0.120101427094176,0.0680992348097911,0.0680017836886146,0.0938096005947301,0.203573626831239,0.0503229061022364,0.063363704449652,0.191656571781464,0.0367499226474697,0.2265460872245,0.116969332600968,0.0748601493620347,0.145861915914237,0.0689969143623198,0.151509454290227,0.0831435690312127,0.126013349019132,0.103377168529634,0.154178521361022,0.0334144838854238,0.131294288610123,0.100858680396029,0.138483304768785,0.192542223138306,0.244399785386647,0.114280045717442,0.081697210248257,0.162570575610871,0.183908394644256,-0.019084113848003,0.0561167125171557,0.0455422104564635,0.161008586285342,0.0602386640452971,0.130727980116185,-0.0366658993574864,0.164310529700889,0.107268427553702,0.0886323618940055,0.0895553731996134,0.083478171863401,0.0595274945825345,0.109020793634776,-0.0167120387417493,0.12744161088361,-0.0276582257701896,0.147039024724995,0.113778413706161,0.0357857687250289,0.129742136399828,0.146730571648581,0.0993195900184544,0.1084823027431,0.0969323731965516,0.0665062360340388,-0.0659641688415521,-0.00094893943871039,0.0745782679963995,0.111474902094837,0.152938218229095,0.155351652076636,0.0703192793117688,0.0623347579217219,0.156210900692906,0.182885766936414,0.191733814371163,0.162379374104957,0.123989159622628,0.00721422947740442,-0.00593961472701361,0.125529979736168,0.048718580161537,0.222941189953444,0.0344406642234214,0.141530120549056,0.124606871206804,0.102300656593189,0.0423919363648184,0.124575688366227,0.16368601240004,0.172628717956352,0.138434734819213,0.0921740647323327
