"","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues","predValues"
"CANE9233-US47-0011",0.152745365984037,0.0710945016132872,0.13980892314344,0.16714383737473,0.183133674966463,0.000000000614383697240076,0.151096889874038,0.130713268576894,0.159611384473768,0.143528456417858,0.151407417391822,0.14960879358026,0.126247296627469,0.172284942634996,0.156210784637725,0.180508030923436,0.159512230512785,0.125181573074587,-0.00557941842878274,0.146718954025146,0.134726788042711,0.133447230631496,0.17372519557632,0.14390124465878,0.118373879187189,0.174062922203401,0.000000000896581460151104,0.00000000074653776846033,0.162786443539388,0.102569524544043,0.113663359178631,0.140094809262923,0.137390945880218,0.164521538129292,0.148645534678525,0.161817032800758,0.134688486734682,0.129585159627531,0.000000000766360294067812,0.160851301447948,0.0909970954151582,0.142769823717051,0.177021056320388,0.159068968750414,0.121853148589017,0.137592998426092,0.13715440345572,0.113206583383861,0.134659763869473,0.187817613639226,0.162408953665422,0.163665191014943,0.158379346260158,0.17971813774147,0.142540395930079,0.164657280782976,0.140984570114398,0.000000000706213019013891,0.148705945525898,0.179345093152099,0.0990782610929413,0.147692084797109,0.108320815096919,0.150696179806319,0.0825176906811732,0.158089115398962,0.160312987286959,0.134099935597517,0.140439488083213,0.162037204634995,0.00000000099826848762705,0.156255019343632,0.146342864799285,0.164859744411329,0.14434831657564,0.149431582146852,0.160151711553173,0.0996747342301383,0.137654073146829,0.134969863015823,0.111598605825973,0.156749599612656,0.154986107603413,0.133707118761847,0.147157255660068,0.177294336027509,0.138170651295406,0.12757113926915,0.110967606995998,0.126889127571024,0.136062325139852,0.155236480525951,0.102549631455062,0.158260095248228,0.136560832215141,0.129108571405309,0.181139740629894,0.143221216782061,0.147105674158068,0.155441521501498
"DC-2010-001-A",-0.0583436520266208,-0.0757683222171855,-0.0693152558509877,-0.0554004229453063,-0.0553621681754263,-0.0701564937304388,-0.0570523680656429,-0.0705881148187223,-0.089812746025809,-0.085416489562699,-0.0599041269805403,-0.0695840531623918,-0.0491005036232573,-0.0412612693328101,-0.0662355228511289,-0.000000000247009313683379,-0.0805411339917359,-0.0963917489799323,-0.0704408262211482,-0.000000000147925272073421,-0.0462221835628386,-0.158504671721832,-0.0243173068119815,-0.0228992607510682,-0.0611996881473586,-0.101244189851701,-0.102888394678605,-0.0212062100171641,-0.0461394571376227,-0.0692314788097744,-0.0322873384662202,-0.0919972367861339,-0.0417946095388507,-0.0683333826414835,-0.0340172664182133,-0.0712728105871087,-0.0516095671032534,-0.0497439369689502,-0.0482335651239931,-0.0401042250113084,-0.0419472551840943,-0.0606700139239179,-0.053563126281819,-0.0503078280260376,-0.0588379041425599,-0.0860832327395694,-0.0507933200836056,-0.0636085662030623,-0.0519291902003897,-0.0671281105391308,-0.0999318734256984,-0.0549911620507412,-0.0731996141826516,-0.0331022973516089,-0.098691857732527,-0.0597600883464234,-0.0544560844581938,-0.0719409161188526,-0.0582837914342844,-0.0536801337575406,-0.0685278752759265,-0.0733910006933677,-0.0662683155470865,-0.072420484090161,-0.0567908076322622,-0.0525560813333109,-0.0428733802541813,-0.0463530650384567,-0.0574077420743547,-0.0587286672666155,-0.0637330636837781,-0.0525730978779779,-0.0620838297406974,-0.0502688646024863,-0.0577393284261725,-0.0550036242455832,-0.0561755848451373,-0.0802414142399019,-0.0602504918693439,-0.0917141385353448,-0.0685777748213499,-0.0656767329434494,-0.0431761837028584,-0.0472135273796868,0.00188630851915769,-0.0709728193354061,-0.0442529258108988,-0.0453932343871644,-0.06267278749478,-0.0732356830581505,-0.0367155807584774,-0.0695481012420347,-0.0720316717038053,-0.0825418037258319,-0.0381336257346506,-0.0655885848648069,-0.0431545229013542,-0.115425584590568,-0.0563790268662637,-0.0766412800074128
"DC-2010-001-E",0.0702079205262613,0.073787360989291,0.0418638828692841,0.0250873999332582,0.0535119339030729,0.0592073923948872,0.050693228431669,0.0764008202700512,0.0207504917762589,0.0853323636989127,0.0825981807214519,0.0160821522411666,0.0621087012735912,0.0688175091294546,0.0578179500784345,0.0146257237355894,0.0689235406176894,0.0281660265512839,0.0315165199635015,0.052854034534592,0.0437470108409141,0.0402689300336661,0.0331294242762285,0.000960000836834328,0.0371666683175582,0.0578629436103743,0.0459015894440836,0.0234786648147662,0.0350672772617228,0.0438637332956684,0.0368756933654607,0.0391452580484088,0.0559751554823891,0.0280996198964811,0.0270803131454164,0.0246237961199775,0.0502221883753127,0.0371811257968932,0.0638433662210856,0.0658797498348284,0.0465655069273647,0.0477570964150425,0.00798231149053205,0.039896182945053,0.0442358223377178,0.0365398991679938,0.0141559633626938,0.0545142136685688,0.0535537199988919,0.0440723998463935,0.0558219626112325,0.0394560187146101,0.0287087207424165,0.0266709000410583,0.0636392357098058,0.0579218991847573,0.0178534098779689,0.0393251017026404,0.0545893833025225,0.0681045858794828,0.0454237008556796,0.0349475520359392,0.0589798773533861,0.0596331363668739,0.0342818185031092,0.0148856701583035,0.0428707407911954,0.0374762356625933,0.0814884130279716,0.0637085155817033,0.0405588011233046,0.0531247836422178,0.0791429792117355,0.0318260644498667,0.00957809060616401,0.0691249696809561,0.0208801869722541,0.0291876375656995,0.0764174073486583,0.0388409141500172,0.0394642870849167,0.0407627481330151,0.0289286234692595,0.0407774676603226,0.0343706014982076,0.04401641287746,0.0341016426962914,0.0427865329615804,0.0270212941758885,0.0376923561798266,0.0299061584764861,0.0587198059314372,0.067483405073956,0.0485205563381918,0.067539907130471,0.0148729110418504,0.0203774089414614,-0.0071797611479157,0.0729638262600448,0.0820140869255401
"KY-2009-001-B20-e",-0.0463034480354726,-0.0890298808994681,-0.0583993377265003,-0.144172248294886,-0.0852080490767945,-0.0740566409875085,-0.0566148361456717,-0.0738525896114697,-0.0385698718703191,-0.0875508207031299,-0.0759850802150295,-0.107513709157819,-0.100859073531193,-0.0621316310605749,-0.0621958096750399,-0.0573220202878243,-0.0490820537757014,-0.0285814681185408,-0.083772703894805,-0.0586064505785822,-0.0782404963555496,-0.0737714223271851,-0.0835329866810356,-0.0624900901580876,-0.111937866297965,-0.109874081623883,-0.0820010952936996,-0.000000000360399531615259,-0.0817446275027027,-0.091239868138367,-0.0913947720829239,-0.0747702613170547,-0.0422457189978904,-0.085796893493759,-0.0757969201101248,-0.0574048157892875,-0.0575783756989334,-0.0601044576622456,-0.096253435731908,-0.0270807433527982,-0.0586962612350479,-0.0798055589031659,-0.0624411956284303,-0.0878202523238999,-0.0955925752399158,-0.0928772137513278,-0.0386523567271023,-0.0678340362382435,-0.048834881046778,-0.0665212118863291,-0.0184275870578839,-0.080293498161722,-0.0552598365306017,-0.0777225707863689,-0.0589902002489449,-0.0597559236664382,-0.0587354341927446,-0.0796082444485145,-0.0646563713148304,-0.0636907026443765,-0.0677764040597014,-0.0829356899984858,-0.034644831332269,-0.0573567748219122,-0.0681220992630326,-0.0756395269093991,-0.127625852315605,-0.0461929250238799,-0.067972156537021,-0.0502036094298432,-0.123683843856985,-0.0577156186779486,-0.0517487604967739,-0.0826926441682705,-0.0438562565608866,-0.0760356910518022,-0.0596122249329522,-0.0747812272151543,-0.0286326401156021,-0.0752392945855363,-0.0427514067165448,-0.0907760281829125,-0.0449059568879957,-0.094032678356917,-0.0683836190644295,-0.0440136689029153,-0.0626945659732993,-0.0630435677471543,-0.0491531110344527,-0.0994910539097943,-0.0712706862559146,-0.0347365971118373,-0.0611111693000195,-0.0637145025930946,-0.0545202584978869,-0.045703089311373,-0.0637822620887183,-0.0860615755058635,-0.0476140574759193,-0.0730590331514273
"KY-2009-001-C",0.0154535296558664,0.0726449941529399,0.100639336519847,0.0660567114452944,0.0603338529864324,0.0000000000102974061030803,0.0954340284374376,0.063787727917174,0.111923776565654,0.0633203778872878,0.058792329968402,0.0575105412209717,0.0305017584811472,0.0944469023816976,0.0780943245648972,0.0763568221560901,0.0796974102281035,0.0696054403455301,0.0762827323148378,0.0000000000268094855574595,0.0848449020227229,0.0621889362728855,0.0166360204808401,0.0468450153062529,0.0773404012583325,0.0881087124003503,-0.0000000000954802373781856,0.0549923688350698,0.0509789178340914,0.0866539354129043,0.0412019413294823,0.013160237266341,0.0511288438183504,0.0703909250372964,0.0819790180454393,0.00352692080721637,0.0824721909908677,0.0705846615885521,-0.000000000169573547210334,0.0174946150597625,0.050775121385145,0.0633513198486383,0.0808503335170161,0.0498772155623036,0.055005572790091,0.0791515355360488,0.0922369024545689,0.0632237116782558,0.0825499767869271,0.039480055898855,0.0523940055483537,0.0386525842459378,0.0674640660620082,0.0683036381445569,0.0711455127357008,0.040653086960258,0.0683737733997692,0.0180647742376824,0.112827199476837,0.067455563464487,-0.000000000282097306095727,0.0337869944281829,0.0581180112011235,0.039703264663938,0.0292410452009152,0.0710364060216238,0.0954075325868618,0.0440135181926831,0.0724969091122648,0.0368925250072975,0.0452030263172583,0.102156572655256,0.0439848543175079,0.0824695936303924,0.042681184058427,0.0651617986279658,0.0788963842272548,0.0922953975474117,0.108487596772782,0.0710917443479412,0.0427308672836914,0.0521163709415583,0.0403420702424733,0.0578497591570958,0.069432905101782,0.116036814224357,0.0102611733752996,0.0724892483698681,0.108774151122747,0.042310923174619,0.059280905639955,0.00582554684807034,0.0884569776175725,0.0659654434002487,0.0760856180831939,0.0437373892791147,0.0552077844704521,0.0839410066102593,0.0675347184474984,0.062870887818177
"KY-2009-001-D",0.0948199111475106,0.0653261085191319,0.0669341411460739,0.129508970312502,0.115613430101339,0.0000000000902077545010882,0.0836830148836863,0.149729590650587,0.153571343368333,0.134292273912149,0.103209768863266,0.0943688378610517,0.113745043667777,0.12783445763618,0.107735365599208,0.16187008712766,0.113551081500602,0.129272777819862,0.0609063580350773,0.0784615936999627,0.0932551059445463,0.0664163939457824,0.122361190924171,0.124404705251734,0.113436416535769,0.111151736183231,0.146316613217845,0.106247522893138,0.0355153732352239,0.131413955554723,0.0763569160618781,0.0754890312885156,0.128622030331265,0.0752618266173446,0.113095236775822,0.0736842745554629,0.105684361627442,0.093219846842282,0.150600932875173,0.0339273917203746,0.128192684481709,0.0622919247279184,0.108110616315081,0.0943879198283126,0.104491941422949,0.118183032292673,0.0655917645813794,0.109197531463153,0.147641485818858,0.146191813307572,0.0592178805009958,0.100789683233739,0.113634842485833,0.0982056722235166,0.0981872893333707,0.132480219077735,-0.00780609585738004,0.044071392497256,0.112238531380744,0.000000000135045726800494,-0.000000000181870977653123,0.0924924329116855,0.101828636718521,0.138488401148134,-0.000690165828698781,0.120013659695224,0.0681970743807776,0.11941145531854,0.155700289524066,0.125443585453184,0.113008285608728,0.145083502817081,0.0635209020941286,0.113253204855398,0.121429463411275,0.118109616490089,0.0342821485801091,0.0877324349864788,0.000000000109496534835271,0.0999893708021684,0.122798439894572,0.11423148616398,0.040670998247872,0.148248022516303,0.147530069580449,0.0454115191380466,0.0461104371667488,0.125889295808918,0.0790477265856729,0.0724821571479148,0.0998202806099519,0.10346877162584,0.0705094575162614,0.0872585477654979,0.149545614485007,0.0749976553544018,0.0686755543879266,0.125062410422552,0.0390352852011306,0.0204306107241574
"NC-2010-001-009",-0.000000000366073801856783,-0.0629405316897697,0.0364721098353847,0.0470849440465074,0.120218625693885,0.0644476049026249,0.0513531866092874,0.033014551173857,-0.0300246031938778,0.018015498638275,0.022585968483883,0.0486129258797606,0.00865311479687425,-0.0259983124672775,0.0353445265970336,0.0921272677305497,0.000114367204200392,0.0665346900527773,0.0222219051141542,-0.0433223489519904,0.0939968487878716,0.0664225801443414,0.013921146653635,0.0443725124089648,0.027492797985074,0.0271537898803468,0.0103835408144016,0.0195234248493984,0.0354520120061886,0.026284745432203,0.0304620757629627,-0.00626603953155268,0.0216028479707976,0.0616695202174519,0.0468160941273286,0.0919147808142355,0.122296476491178,-0.00423182649441782,-0.0000000000173347914099997,0.0357944667400796,0.0109643453697315,0.0314715330413291,-0.0000000000750578876482487,-0.00640186229390462,0.0374298963147802,0.0126970425354278,0.0788958352671947,0.0500101461812844,0.0991624896007869,0.0181958794214454,-0.0616846658444718,0.0328015855675314,0.100988263398253,-0.0404182142300405,0.0714777413706006,0.0287699546484385,0.0442851885703519,0.0439148693553628,0.000482199195935619,-0.00585630635679467,0.0472935174380201,0.0147046330435849,-0.00522712299017066,0.0535354939411114,0.0491982238419723,-0.0381922561349388,0.0520906963231724,0.0126485993506891,0.0350262634958143,0.0271914699700155,-0.0132489381829662,0.0398080308762928,0.021232650031794,0.0267912468870033,0.0654645912017049,0.0585436599218053,0.0350482996312989,0.0438376884292778,0.0000000000230172407896695,0.0329355450196757,0.0256845460521202,0.0216259302047714,0.0220776600819997,0.0000000000696281334180623,0.0452210267282877,-0.00481683655828742,-0.0391067494628189,0.04420192277333,0.13568367076812,0.0297307911953129,-0.0316087992850793,0.0253037110399551,0.0114589933032107,0.0647972494209526,0.0272373586851977,0.0290484029942832,0.0191701550372877,0.04635144735659,-0.00244688679416761,0.0287891896813434
"NC-2010-001-010",-0.000000000368454207770497,-0.048927427063097,0.00152794311534967,-0.0107527336972986,-0.0239696162901115,0.0275678408051052,0.00787551466228048,-0.00291475068657649,-0.0314383451988782,0.00513757892244012,0.0194901710145871,-0.0000000000649887713758938,-0.00231136935343638,-0.0419858995517261,0.0445823825119333,-0.0208180949805101,0.00974387028354987,0.0167088712234931,0.004709839651558,-0.0397265073161866,0.00249302484405318,-0.0196030656685768,-0.0100239581335765,0.0194138744561552,-0.00311357918761505,-0.0193163824618529,-0.00000000000499702352651002,-0.0348127322855307,0.00343054088730912,-0.00558635945319677,0.0015383868151589,-0.00743814017213235,0.0125275146456197,-0.00947571101247299,-0.0186957662297691,0.0308286930298267,0.00853112772557046,-0.0142774853400155,-0.0161067781429557,0.00375798094570143,0.00263980229871583,-0.0120493726991862,0.00880188337595517,-0.000838450935753705,0.00519254052793329,0.0330010566632138,0.018094037623412,0.0158148169147885,-0.000890696770169057,-0.0156730592796967,-0.0386880413249924,0.0304969358524275,-0.0184014919395779,-0.0577942424416089,0.0136750678747581,-0.000750847084997972,0.0000315843109126275,0.000444958363581573,0.0031847138204642,-0.0178015486576618,-0.0464704668581614,0.0381420015267154,-0.00921330071023071,0.0218624904014469,0.0163852939243247,-0.0563894967620589,0.00617576297647765,0.0251286612108935,0.0339451494386019,-0.000288602483764204,-0.00177999609084041,-0.00497043714209138,-0.00374816619002327,-0.00872227744992146,-0.00284417268722467,-0.0236434651525427,0.0290888059475152,-0.00262655819259688,-0.0065006914233178,0.016683318126911,0.0459813882936512,0.0201018772512968,-0.0389642005458336,0.0105569361634133,0.0532604786561652,0.0360690746092509,-0.0318141176926581,-0.0416630100869121,-0.0112760736583031,-0.0194505725381702,-0.04495111703743,0.0307953052836389,0.00730884988118159,0.000496044276498398,0.0300158728140686,-0.0118646687200071,-0.000313127180122687,0.065924634825669,-0.035456100889148,0.0468443706317016
"NC-2010-001-5-B18-a",0.0846166628969066,0.0590635453641974,0.0925404016064246,0.0736192247702446,0.0615409741554535,0.0970335020706716,0.0809718640971498,0.0492286269903572,0.0514104502074474,0.0634400259212719,0.059107284887102,0.0593662699724367,0.052519641718825,0.077505365847709,0.0446647409825865,0.105439082271828,0.0722435879718063,0.0450342097222416,0.0139680282108779,0.109573994079774,0.0713117053395545,0.109102863795038,0.0929613702246728,0.120416537571017,0.0736745030336814,0.111882522770011,0.0827350192066851,0.0734843727002513,0.0543289677893931,0.0570574030712899,0.0468576747110744,0.049588451909429,0.0865652832095658,0.0455673329469851,0.0503582897878929,0.0439066819849348,0.0606255192697236,0.0263807514879026,0.0595655327980357,0.0392280493059464,0.111652003051074,0.073530759435452,0.0581155195767374,0.0655150944011762,0.0940726480061976,0.0801491254945427,0.0728160885147326,0.1303400263421,0.0000000000625186425775574,0.0443127514069003,0.114357920901174,0.0940170184752068,0.0764984994927493,0.0976988122795611,0.0871859128158522,0.0616462631384644,0.0567891814951156,0.0513786150269696,0.0943820115987522,0.000000000281377532935718,0.0744413908513873,0.0908130072889345,0.0787511556602381,0.0992015238304975,0.0658131301004126,0.0364962754496776,0.064528898910382,0.0139193503832347,0.029942191591133,0.0840637475898224,0.0894451585190654,0.0373370167336219,0.0963813049294145,0.0494925174211942,0.0729217826554205,0.0751716709317987,0.0766414903681752,0.0640844004954946,0.0564700686833871,0.150023720497588,0.0571476224403214,0.0712120266054309,0.0804045674004157,0.069080603015348,0.0509516059236934,0.0864390479980519,0.0591092484551953,0.0645992902358517,0.074651705803436,0.0748253960662747,0.102892089062765,0.0155920910347716,0.0722741345780792,0.0807505366228349,0.0289288130822123,0.122958362080237,0.0603704830506509,0.0805701835148423,0.0507630312760503,0.0131419766515614
"NC-2010-001-5-C",-0.000000000119920135626071,0.121082386864279,0.084449169626035,0.125934204158968,0.127447798983209,0.0853007395820397,0.119994001576993,0.0931484271336947,0.185438185908979,0.0925250660168128,0.0898128846712357,0.155719779945871,0.114955164213056,0.182083888644627,0.0594763201104371,0.0552927378793222,0.0967697160835032,0.0971111174804054,0.110029656467607,0.0861963003246584,0.102939888716381,0.126704366635132,0.0843402588186102,0.152923901354838,0.0839525061470032,0.105221500106474,0.12164144444545,0.103715953265383,0.0810209514400656,0.119111034345739,0.0748252311491685,0.103413275320425,0.0663174814625091,0.18075065986417,0.1400846058003,0.156857334398619,0.0908615763205874,0.0696780582032933,0.0978457505566307,0.10198352220715,0.0856657973809056,0.100389415095403,0.133078718074344,0.0917633992253724,0.0968072421294678,0.107774669780412,0.0742891301077791,0.0185643960253514,0.0989105341342631,0.123848173290613,0.11685503532096,0.0737660376735742,0.14250201637465,0.105461790102562,0.0754111003254611,0.0851370892386669,0.163068025650101,0.102228459537413,0.0753787803007275,0.0769779762654552,0.0972899784772694,0.114092779842631,0.0835193232109481,0.191248811868163,0.125025396033306,0.100584246453426,0.0508731124843835,0.0675425973677116,0.102111882552466,0.102190854410655,0.103377020278256,0.133391936884588,0.093431239545695,0.105487389078096,0.0710125565829025,0.115148131746341,0.110625004616405,0.107370301804439,0.0985843440923699,0.141539309767359,0.0486808375112628,0.0879318183025314,0.10940702553536,0.14292112992494,0.093549485308651,0.145796042149915,0.0701608143763374,0.117420133162923,0.0712484300837928,0.0701365664827653,0.104400725444404,0.103205759831999,0.0979204706548184,0.0678302337970713,0.100954894572751,0.0907039523515654,0.110496061917641,0.0510153273932913,0.165718209060503,0.0915142403524995
"NC-2010-001-B",0.0276445011663366,0.0271099763341256,0.0374134568722461,0.0280388024421886,0.0409946075278204,0.0327153921999091,0.0233099063913543,0.0362578153965588,0.0285858147757073,0.0276098655142683,0.046569497969525,0.124227080680696,0.0413028529277544,-0.0127285514174508,0.00349136209645914,0.0379864445318215,0.0306407487867739,0.0705819892814136,0.0386319365342511,0.0668164741501484,0.0083178170460187,-0.0136778508567857,0.0283455606457967,0.00987798680105702,0.0300062262104395,0.0276194542116239,0.0511975417603255,0.0237506901461497,0.0228472503251456,0.063906012929505,0.0325085677931631,0.0364487390441901,0.013293704485698,0.0422725343509937,0.0173845506203892,0.0791363733066809,-0.00891621263066615,0.0551409130887965,0.0473507621680062,0.0277629714974776,-0.00220073633727587,0.056818157653377,0.043280571057935,-0.015902755515843,0.0708911692200005,0.0306664370845371,-0.0202113839005209,0.0383506785129462,0.0719357744967059,0.0349363294131377,0.0373997411117046,0.0254960647880519,0.136990158637861,0.0950211432744704,0.0322237963295322,-0.013316292520276,0.0497760776364253,0.0817571175137041,0.0431872834861222,0.0345776045964398,-0.0797018570852821,0.0229737052097292,0.0245083907580368,0.0727800833407806,0.0452185057375374,0.0132789183157111,0.0679346262340154,0.0286808288556792,0.0355727988850565,0.0294707726844987,0.0584784640604726,0.0665882391459576,0.0175156663470824,0.0354847937051568,0.0440802059081547,0.0673294892517066,0.0611122151574307,0.0169391865089957,0.0261492598509788,0.0487191141553441,0.0477330148078043,0.0521259255032963,0.0331779854216673,0.0719534506081434,-0.0186192142524779,0.00031790413318785,0.020534899188827,0.0354165461706572,0.0301553016563093,-0.00706881367010429,0.0399833200014051,0.0388153358358488,0.0142533630268928,0.0233214357565041,0.102871269964655,0.0281361622371452,-0.00647276458892751,-0.00425391574928667,0.0556664496915271,0.0687144102324132
"NC-2010-001-B44-e",0.100215827106206,0.110734451525264,0.0904625659263838,0.118046999715491,0.132583872555572,0.00000000041850769362666,0.112686182337127,0.0761917893571242,0.135620201212996,0.08294937879782,0.113586415150116,0.154865155957086,0.133431805744119,0.0791761496125793,0.0707099476072275,0.115772321547805,0.0962740195328512,0.0672668157981322,0.120449370748277,0.127392667624293,0.0487401140520932,0.118835788022355,0.126176614180803,0.0822110285770383,0.107415806039559,0.0594522854849513,0.126715110670648,0.0748866948621179,0.0759438269342235,0.104573825645309,0.071350614111715,0.117063308399031,0.122560021502794,0.0966702309255719,0.148614476695233,0.116793305547257,0.078437196686127,0.113303883328717,0.0932500005644018,0.0830729917510813,0.102744771848125,0.14677091738297,0.116104503979478,0.111104381638826,0.112674003466547,0.121826016316522,0.146866402912954,0.121443245014522,0.0847988665750467,0.127237529892329,0.0945733400723999,0.0829662674895656,0.186553329947951,0.0968635236805757,0.0892638617951986,0.12533336776939,0.0992761335054687,0.162359072803712,0.000000000220335560235309,0.102963591059466,0.0843764682334102,0.11422750610198,0.0824895673700273,0.108341675497353,0.0729835222273742,0.125934211364808,0.134760188448438,0.102156941621147,0.0809302793369777,0.0762498009225359,0.113260908208728,0.137573323559697,0.119984802417292,0.112179011420889,0.0928320861335932,0.104728691215386,0.0949483135496929,0.101187427994405,0.13848957587642,0.104098766359234,0.0858722410330887,0.125493269478083,0.0869351754148773,0.12672945550148,0.104458954103467,0.12639396120914,0.10902481300598,0.11502168084356,0.168264596491149,0.123699549914384,0.112513190537281,0.163838283065011,0.11395189878292,0.103064609997807,0.145532635604931,0.149707339088787,0.0891542024750866,0.0995049823884348,0.118740360263257,0.140750056844805
"NC-2010-002-001",0.0574729512745476,0.048121029068903,0.0502614536247129,0.0884744584619347,0.0439952686006566,0.0756811977592551,0.0271763727086841,0.0274031370134973,0.0994022897059482,0.0605914182051616,0.0456882531707208,0.0278240795949843,0.0948890764002472,0.0874170580658182,0.051586922690305,0.0456379333623537,0.00764355142769815,0.0705222019956338,0.0206927506760061,0.0830689523519689,0.0573189961912893,0.0345206666740671,0.0522643967250281,0.103527653790825,0.0744698397722357,0.0533541399682469,0.0620131618752821,0.0961410612621355,0.0784505349866975,0.0354265874235808,0.0580317385165882,0.0368054243862116,0.0642276784251054,0.102327903014487,0.0189744467480077,0.0797822976161746,0.0883036393748758,0.066249627154458,0.0852337241165891,0.0636187834230605,0.0693998159665634,0.0808049630720819,0.0748411172753566,0.0829044538465748,0.077011223283998,0.0324048862712901,0.0492001078377527,0.0479466708267827,0.0759005491345211,0.0268605856780831,0.0730071342079778,0.0615580209567481,0.0576767581616662,0.0792111187670596,0.0458956249160355,0.0338085943106138,0.128470972255301,0.0828606806779489,0.0541007604602744,0.0687696061552093,0.0449559386059983,0.0594574395635274,0.0566654339024339,0.0929488668517343,0.0853965416391406,0.045199087373424,0.0734884012341053,0.0674214321774454,0.0338777555637392,0.0721354262643473,0.0728180446918701,0.0443808313357045,0.0656960286996799,0.0239271833043712,0.0646398298180698,0.0906704033744529,0.0216350977188824,0.0708751871237295,0.0645878581005039,0.0834585856077917,0.0248906971519254,0.0219151697953229,0.0116857009150224,0.0553130204226501,0.0331121497026108,0.07336156663997,0.0500683662688197,0.079012170646082,0.0847197492871943,0.0656358621893328,0.0774403931892502,0.0586503649530554,0.0761156295772036,0.0398060627918412,0.0431018722972094,0.0712170448035159,-0.0144168203470182,0.00792062121342491,0.0945880773601866,0.0696694643868648
